,SW.ID,SearchID,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,Abstract,Language,Document.Type,Open.Access,Database,Exclusion.Criteria,Region,Scale...Spatial..m.,Scale...Temporal,Resolution...Spatial..m.,Resolution...Temporal,Sampling.Method.used.for.data.collection,Analytical.method.used.for.inference,Quality...Spatial..relative.1.3.,Quality...Temporal,Quality...Methods,Concluding.statement.or.quotable.quote,Comments,Species,Life.stage,Environmental.Drivers.,Process,Metric,Direction.of.relationship,Strength.of.relationships,Additional.info.about.response,Driverscategory
676,m3_sco.160,m_sco.160,"Sardà F., Company J.B., Bahamón N., Rotllant G., Flexas M.M., Sánchez J.D., Zúñiga D., Coenjaerts J., Orellana D., Jordà G., Puigdefábregas J., Sánchez-Vidal A., Calafat A., Martín D., Espino M.","Relationship between environment and the occurrence of the deep-water rose shrimp Aristeus antennatus (Risso, 1816) in the Blanes submarine canyon (NW Mediterranean)",2009,Progress in Oceanography,82,4,227,238,10.1016/j.pocean.2009.07.001,NA,"We performed a multidisciplinary study characterizing the relationships between hydrodynamic conditions (currents and water masses) and the presence and abundance of the deep-water rose shrimp Aristeus antennatus in a submarine canyon (Blanes canyon in the NW Mediterranean Sea). This species is heavily commercially exploited and is the main target species of a bottom trawl fishery. Seasonal fluctuations in landings are attributed to spatio-temporal movements by this species associated with submarine canyons in the study area. Despite the economic importance of this species and the decreases in catches in the area in recent years, few studies have provided significant insight into the environmental conditions driving shrimp distribution. We therefore measured daily A. antennatus catches over the course of an entire year and analyzed this time series in terms of daily average temperature, salinity, mean kinetic energy (MKE), and eddy kinetic energy (EKE) values using generalized additive models and decision trees. A. antennatus was captured between 600 and 900 m in the Blanes canyon, depths that include Levantine Intermediate Water (LIW) and the underlying Western Mediterranean Deep Water (WMDW). The greatest catches were associated with relatively salty waters (38.5-38.6), low MKE values (6 and 9 cm2 s-2) and moderate EKE values (10 and 20 cm2 s-2). Deep-water rose shrimp occurrence appears to be driven in a non-linear manner by environmental conditions including local temperature. A. antennatus appears to prefer relatively salty (LIW) waters and low currents (MKE) with moderate variability (EKE).",English,Article,NA,Scopus,K,Western Waters - non CS,"10,000-50,000",two year,"5,000-10,000",day,Fisheries Dependent Data,"GAM, decision trees",2,2,don't know,NA,NA,Aristeus antennatus,NA,Hydrodynamics & winds,Biomass,kinetic energy,Mixed response,significant,Deep-water rose shrimp occurrence appears to be driven in a non-linear manner by environmental conditions,CLIMATE & OCEANOGRAPHY
677,m3_sco.160,m_sco.160,"Sardà F., Company J.B., Bahamón N., Rotllant G., Flexas M.M., Sánchez J.D., Zúñiga D., Coenjaerts J., Orellana D., Jordà G., Puigdefábregas J., Sánchez-Vidal A., Calafat A., Martín D., Espino M.","Relationship between environment and the occurrence of the deep-water rose shrimp Aristeus antennatus (Risso, 1816) in the Blanes submarine canyon (NW Mediterranean)",2009,Progress in Oceanography,82,4,227,238,10.1016/j.pocean.2009.07.001,NA,"We performed a multidisciplinary study characterizing the relationships between hydrodynamic conditions (currents and water masses) and the presence and abundance of the deep-water rose shrimp Aristeus antennatus in a submarine canyon (Blanes canyon in the NW Mediterranean Sea). This species is heavily commercially exploited and is the main target species of a bottom trawl fishery. Seasonal fluctuations in landings are attributed to spatio-temporal movements by this species associated with submarine canyons in the study area. Despite the economic importance of this species and the decreases in catches in the area in recent years, few studies have provided significant insight into the environmental conditions driving shrimp distribution. We therefore measured daily A. antennatus catches over the course of an entire year and analyzed this time series in terms of daily average temperature, salinity, mean kinetic energy (MKE), and eddy kinetic energy (EKE) values using generalized additive models and decision trees. A. antennatus was captured between 600 and 900 m in the Blanes canyon, depths that include Levantine Intermediate Water (LIW) and the underlying Western Mediterranean Deep Water (WMDW). The greatest catches were associated with relatively salty waters (38.5-38.6), low MKE values (6 and 9 cm2 s-2) and moderate EKE values (10 and 20 cm2 s-2). Deep-water rose shrimp occurrence appears to be driven in a non-linear manner by environmental conditions including local temperature. A. antennatus appears to prefer relatively salty (LIW) waters and low currents (MKE) with moderate variability (EKE).",English,Article,NA,Scopus,K,Western Waters - non CS,"10,000-50,000",two year,"5,000-10,000",day,Fisheries Dependent Data,"GAM, decision trees",2,2,don't know,NA,NA,Aristeus antennatus,NA,Hydrodynamics & winds,Biomass,eddy kinetic energy,Mixed response,significant,Deep-water rose shrimp occurrence appears to be driven in a non-linear manner by environmental conditions,CLIMATE & OCEANOGRAPHY
678,m3_sco.60,m_sco.60,"Carreras-Colom E., Constenla M., Soler-Membrives A., Cartes J.E., Baeza M., Padrós F., Carrassón M.",Spatial occurrence and effects of microplastic ingestion on the deep-water shrimp Aristeus antennatus,2018,Marine Pollution Bulletin,133,NA,44,52,10.1016/j.marpolbul.2018.05.012,NA,"Microplastic (MP) ingestion has been reported in a wide variety of organisms, however, its spatial occurrence and effects on wild populations remain quite unknown. The present study targets an economically and ecologically key species in the Mediterranean Sea, the shrimp Aristeus antennatus. 39.2% of the individuals sampled had MP in their stomachs, albeit in areas close to Barcelona city the percentage reached values of 100%. Overall, MP ingestion was confirmed in a wide spatial and depth (630-1870 m) range, pointing out the great dispersion of this pollutant. The benthophagous diet and close relationship with the sea bottom of A. antennatus might enhance MP exposure and ultimately lead to accidental ingestion. Detailed analysis of shrimps’ diet revealed that individuals with MP had a higher presence of endobenthic prey. Microplastic fibers are probably retained for long periods due to stomach's morphology, but no negative effects on shrimp's biological condition were observed. © 2018 Elsevier Ltd",English,Article,NA,Scopus,K,Mediterranean - non CS,">100,000",five year,"10,000-50,000",season,Stomach Contents Analyses,ANOVA,2,2,don't know,NA,NA,Aristeus antennatus,NA,Contaminants & Pollution,Growth,NA,No response,NA,No differences were found between groups with presence/absence of microplastics in stomachs for shrimp length,ABIOTIC ANTHROPIC
679,m3_sco.60,m_sco.60,"Carreras-Colom E., Constenla M., Soler-Membrives A., Cartes J.E., Baeza M., Padrós F., Carrassón M.",Spatial occurrence and effects of microplastic ingestion on the deep-water shrimp Aristeus antennatus,2018,Marine Pollution Bulletin,133,NA,44,52,10.1016/j.marpolbul.2018.05.012,NA,"Microplastic (MP) ingestion has been reported in a wide variety of organisms, however, its spatial occurrence and effects on wild populations remain quite unknown. The present study targets an economically and ecologically key species in the Mediterranean Sea, the shrimp Aristeus antennatus. 39.2% of the individuals sampled had MP in their stomachs, albeit in areas close to Barcelona city the percentage reached values of 100%. Overall, MP ingestion was confirmed in a wide spatial and depth (630-1870 m) range, pointing out the great dispersion of this pollutant. The benthophagous diet and close relationship with the sea bottom of A. antennatus might enhance MP exposure and ultimately lead to accidental ingestion. Detailed analysis of shrimps’ diet revealed that individuals with MP had a higher presence of endobenthic prey. Microplastic fibers are probably retained for long periods due to stomach's morphology, but no negative effects on shrimp's biological condition were observed. © 2018 Elsevier Ltd",English,Article,NA,Scopus,K,Mediterranean - non CS,">100,000",five year,"10,000-50,000",season,Stomach Contents Analyses,ANOVA,2,2,don't know,NA,NA,Aristeus antennatus,NA,Contaminants & Pollution,Biomass,NA,No response,NA,No differences were found between groups with presence/absence of microplastics in stomachs for shrimp weight,ABIOTIC ANTHROPIC
680,m3_sco.60,m_sco.60,"Carreras-Colom E., Constenla M., Soler-Membrives A., Cartes J.E., Baeza M., Padrós F., Carrassón M.",Spatial occurrence and effects of microplastic ingestion on the deep-water shrimp Aristeus antennatus,2018,Marine Pollution Bulletin,133,NA,44,52,10.1016/j.marpolbul.2018.05.012,NA,"Microplastic (MP) ingestion has been reported in a wide variety of organisms, however, its spatial occurrence and effects on wild populations remain quite unknown. The present study targets an economically and ecologically key species in the Mediterranean Sea, the shrimp Aristeus antennatus. 39.2% of the individuals sampled had MP in their stomachs, albeit in areas close to Barcelona city the percentage reached values of 100%. Overall, MP ingestion was confirmed in a wide spatial and depth (630-1870 m) range, pointing out the great dispersion of this pollutant. The benthophagous diet and close relationship with the sea bottom of A. antennatus might enhance MP exposure and ultimately lead to accidental ingestion. Detailed analysis of shrimps’ diet revealed that individuals with MP had a higher presence of endobenthic prey. Microplastic fibers are probably retained for long periods due to stomach's morphology, but no negative effects on shrimp's biological condition were observed. © 2018 Elsevier Ltd",English,Article,NA,Scopus,K,Mediterranean - non CS,">100,000",five year,"10,000-50,000",season,Stomach Contents Analyses,ANOVA,2,2,don't know,NA,NA,Aristeus antennatus,NA,Contaminants & Pollution,Condition,NA,No response,NA,No differences were found between groups with presence/absence of microplastics in stomachs for shrimp condition indices (K and HSI),ABIOTIC ANTHROPIC
682,n3_wos.162,n_wos.162,"Floeter, J; Kempf, A; Vinther, M; Schrum, C; Temming, A",Grey gurnard (Eutrigla gurnadus) in the North Sea: an emerging key predator?,2005,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,62,8,1853,1864,10.1139/F05-108,NA,"Grey gurnard (Eutrigla gurnadus) is a widely distributed demersal species in the North Sea that has been ranked frequently among the 10 dominant species. Since the late 1980s, grey gurnard catch rates in the international bottom trawl surveys showed a pronounced increase and it was included as an other predator in the North Sea multispecies virtual population analysis (MSVPA) in 1997. The MSVPA results estimated grey gurnard to be responsible for approximately 60% of the total predation mortality on age-0 Atlantic cod (Gadus morhua). Long-term MSVPA predictions led to the extinction of North Sea cod. As a possible technical reason, the Holling type II functional response implemented in the model was discussed. In the current analysis, it was demonstrated that the Holling type II functional response was not responsible for the extinction of cod in the model, which was rather a true effect of high grey gurnard predation. Further, it was shown that grey gurnard predation had a significant top-down effect on whiting (Merlangius merlangus) and potentially also on cod recruitment, which was linked to the spatial distribution of the three species. Eventually, the implications of the results for North Sea cod stock recovery plans were discussed.",English,Article,NA,Web of Science,K,North Sea - CS,">100,000",multidecadal,NA,year,"Regular Fisheries Independent Survey, Fisheries Dependent Data","MSVPA, MSFOR, GLM",2,2,don't know,NA,NA,Gadus morhua,juvenile (age-0),Predator pressure,Abundance,NA,overall negative,NA,grey gurnard was responsible for approximately 60% of the total predation mortality on age-0 Atlantic cod,PREDATOR
683,n3_wos.162,n_wos.162,"Floeter, J; Kempf, A; Vinther, M; Schrum, C; Temming, A",Grey gurnard (Eutrigla gurnadus) in the North Sea: an emerging key predator?,2005,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,62,8,1853,1864,10.1139/F05-108,NA,"Grey gurnard (Eutrigla gurnadus) is a widely distributed demersal species in the North Sea that has been ranked frequently among the 10 dominant species. Since the late 1980s, grey gurnard catch rates in the international bottom trawl surveys showed a pronounced increase and it was included as an other predator in the North Sea multispecies virtual population analysis (MSVPA) in 1997. The MSVPA results estimated grey gurnard to be responsible for approximately 60% of the total predation mortality on age-0 Atlantic cod (Gadus morhua). Long-term MSVPA predictions led to the extinction of North Sea cod. As a possible technical reason, the Holling type II functional response implemented in the model was discussed. In the current analysis, it was demonstrated that the Holling type II functional response was not responsible for the extinction of cod in the model, which was rather a true effect of high grey gurnard predation. Further, it was shown that grey gurnard predation had a significant top-down effect on whiting (Merlangius merlangus) and potentially also on cod recruitment, which was linked to the spatial distribution of the three species. Eventually, the implications of the results for North Sea cod stock recovery plans were discussed.",English,Article,NA,Web of Science,K,North Sea - CS,">100,000",multidecadal,NA,year,"Regular Fisheries Independent Survey, Fisheries Dependent Data","MSVPA, MSFOR, GLM",2,2,don't know,NA,NA,Merlangius merlangus,juvenile (recruitment),Predator pressure,Abundance,NA,overall negative,significant,grey gurnard predation had a significant top-down effect on whiting recruitment,PREDATOR
684,n3_wos.162,n_wos.162,"Floeter, J; Kempf, A; Vinther, M; Schrum, C; Temming, A",Grey gurnard (Eutrigla gurnadus) in the North Sea: an emerging key predator?,2005,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,62,8,1853,1864,10.1139/F05-108,NA,"Grey gurnard (Eutrigla gurnadus) is a widely distributed demersal species in the North Sea that has been ranked frequently among the 10 dominant species. Since the late 1980s, grey gurnard catch rates in the international bottom trawl surveys showed a pronounced increase and it was included as an other predator in the North Sea multispecies virtual population analysis (MSVPA) in 1997. The MSVPA results estimated grey gurnard to be responsible for approximately 60% of the total predation mortality on age-0 Atlantic cod (Gadus morhua). Long-term MSVPA predictions led to the extinction of North Sea cod. As a possible technical reason, the Holling type II functional response implemented in the model was discussed. In the current analysis, it was demonstrated that the Holling type II functional response was not responsible for the extinction of cod in the model, which was rather a true effect of high grey gurnard predation. Further, it was shown that grey gurnard predation had a significant top-down effect on whiting (Merlangius merlangus) and potentially also on cod recruitment, which was linked to the spatial distribution of the three species. Eventually, the implications of the results for North Sea cod stock recovery plans were discussed.",English,Article,NA,Web of Science,K,North Sea - CS,">100,000",multidecadal,NA,year,"Regular Fisheries Independent Survey, Fisheries Dependent Data","MSVPA, MSFOR, GLM",2,2,don't know,NA,NA,Gadus morhua,juvenile (recruitment),Predator pressure,Abundance,NA,overall negative,insignificant,grey gurnard predation had a significant top-down effect on cod recruitment,PREDATOR
685,w3_sco.37,w_sco.37,"Escribano A., Aldanondo N., Urtizberea A., Boyra G., Cotano U.",Size- and density-dependent overwinter mortality of anchovy juveniles in the Bay of Biscay,2019,Continental Shelf Research,183,NA,28,37,10.1016/j.csr.2019.06.006,NA,"For small pelagic fish, recruitment success is mainly determined by the degree of survival over the early stages of life. In the case of European anchovy in the Bay of Biscay, major mortality events take place during spring and summer, and thus, the juvenile population in autumn is considered as an indicator of the next year recruitment. However, overwinter mortality could be an additional process regulating anchovy recruitment success in this area. Anchovy juveniles winter mortality was estimated over eleven years, between 2003 and 2013, using acoustic estimates of juvenile abundance (in autumn) and age-1 adults (the following spring) from two independent surveys. The results show that mortality is highly variable among years, with values ranging between 0.004 and 0.016 d−1. Size- and density-dependent mortality were also evaluated during the analysis. Observed size distributions of juveniles in autumn were projected to the following spring assuming different size specific growth rate distributions in the population. Thereafter, the projected size frequency distributions were compared with the observed ones. The results indicate that mortality is higher for small individuals in most of the years (7 of 11). The mortality rate is positively correlated with juvenile abundance in autumn but not with mean juvenile length. The results suggest that although a density-dependent effect could be one of the main factors regulating the survival of juveniles during winter, size-dependent mortality could also impact recruitment. Understanding the factors that trigger size-dependent mortality during winter could contribute to the management of this fishery. © 2019 Elsevier Ltd",English,Article,NA,Scopus,K,Western Waters - CS,">100,000",decade,NA,year,"Active Acoustuc Sampling Survey, Irregular Fisheries Independent Survey",NA,2,2,don't know,NA,NA,Engraulis encrasicolus,juveniles,Density dependence,Survival,NA,overall positive,significant,"winter mortality was density-dependent, with mortality increasing at higher abundances",COMPETITION & DENSITY DEPENDENCE
686,w3_sco.72,w_sco.72,"Intxausti L., Villate F., Motos L., Uriarte I., Iriarte A.",Diet variability in European anchovy: a comparative analysis between larval populations of the inner Bay of Biscay and the NW Mediterranean,2017,Hydrobiologia,790,1,49,65,10.1007/s10750-016-3018-x,NA,"Feeding is critical for larval survival and it becomes a determining factor in the annual recruitment in species such as European anchovy Engraulis encrasicolus. Additionally, since differences in the plankton community may affect the larval feeding patterns, an interregional comparative study may contribute to understand these patterns concerning larval development and environmental features. The diet, feeding pattern and prey selectivity in relation to the ontogeny of the larval anchovy in the Cantabrian Sea (inner Bay of Biscay) and the Catalan Sea (NW Mediterranean) were compared in this study. Larvae fed preferentially on copepod eggs, nauplii and calanoid postnauplii, selecting them actively. Larval diet was similar before notochord flexion in the two areas. Nonetheless, for larvae of comparable size, prey preferences skewed towards small preys in the Cantabrian Sea, and towards large preys in the Catalan Sea. Differences appeared in the middle-sized larvae (6.5–9 mm) due to prey size and type. Diet differences were attributable (a) to the ability of the Catalan Sea larvae to capture bigger preys at a smaller individual size; and (b) to differences in prey preferences and availability. Therefore, geographic variety in larval populations and food environment features may promote variability in the larval anchovy diet. © 2016, Springer International Publishing Switzerland.",English,Article,NA,Scopus,K,Western Waters - CS,"10,000-50,000",two year,"5,000-10,000",year,Irregular Fisheries Independent Survey,"ANOVA, ANCOVA, M-W U-test",2,2,don't know,NA,NA,Engraulis encrasicolus,early life stages,Prey availability,Other,diet,overall positive,NA,differences in the feeding scenarios (i.e. cladocerans availability) are found to contribute to the diet variability of larval populations of the same species from different areas,FOOD
687,w3_sco.72,w_sco.72,"Intxausti L., Villate F., Motos L., Uriarte I., Iriarte A.",Diet variability in European anchovy: a comparative analysis between larval populations of the inner Bay of Biscay and the NW Mediterranean,2017,Hydrobiologia,790,1,49,65,10.1007/s10750-016-3018-x,NA,"Feeding is critical for larval survival and it becomes a determining factor in the annual recruitment in species such as European anchovy Engraulis encrasicolus. Additionally, since differences in the plankton community may affect the larval feeding patterns, an interregional comparative study may contribute to understand these patterns concerning larval development and environmental features. The diet, feeding pattern and prey selectivity in relation to the ontogeny of the larval anchovy in the Cantabrian Sea (inner Bay of Biscay) and the Catalan Sea (NW Mediterranean) were compared in this study. Larvae fed preferentially on copepod eggs, nauplii and calanoid postnauplii, selecting them actively. Larval diet was similar before notochord flexion in the two areas. Nonetheless, for larvae of comparable size, prey preferences skewed towards small preys in the Cantabrian Sea, and towards large preys in the Catalan Sea. Differences appeared in the middle-sized larvae (6.5–9 mm) due to prey size and type. Diet differences were attributable (a) to the ability of the Catalan Sea larvae to capture bigger preys at a smaller individual size; and (b) to differences in prey preferences and availability. Therefore, geographic variety in larval populations and food environment features may promote variability in the larval anchovy diet. © 2016, Springer International Publishing Switzerland.",English,Article,NA,Scopus,K,Mediterranean - non CS,"10,000-50,000",two year,"5,000-10,000",year,Irregular Fisheries Independent Survey,"ANOVA, ANCOVA, M-W U-test",2,2,don't know,NA,NA,Engraulis encrasicolus,early life stages,Prey availability,Other,diet,overall positive,NA,differences in the feeding scenarios (i.e. cladocerans availability) are found to contribute to the diet variability of larval populations of the same species from different areas,FOOD
688,b3_sco.54,127,"Neuenfeldt S., Bartolino V., Orio A., Andersen K.H., Andersen N.G., Niiranen S., Bergström U., Ustups D., Kulatska N., Casini M.",Feeding and growth of Atlantic cod (Gadus morhua L.) in the eastern Baltic Sea under environmental change,2020,ICES Journal of Marine Science,77,2,624,632,10.1093/icesjms/fsz224,NA,"Five decades of stomach content data allowed insight into the development of consumption, diet composition, and resulting somatic growth of Gadus morhua (Atlantic cod) in the eastern Baltic Sea. We show a recent reversal in feeding level over body length. Present feeding levels of small cod indicate severe growth limitation and increased starvation-related mortality. For young cod, the low growth rate and the high mortality rate are manifested through a reduction in size-at-age. The low feeding levels are likely the result of a decrease in benthic prey abundance due to increased hypoxic areas, while decreasing abundances of pelagic species in the area of cod distribution have prevented a compensatory shift in diet. Our study emphasizes that environmental forcing and the decline in pelagic prey caused changes in consumption and growth rates of small cod. The food reduction is amplified by stunted growth leading to high densities of cod of smaller size competing for the scarce resources. The average growth rate is negative, and only individuals with feeding levels well above average will survive, though growing slowly. These results suggest that the relation between consumption rate, somatic growth and predatorprey population densities is strongly environmentally mediated. © 2020 International Council for the Exploration of the Sea. All rights reserved.",English,Article,,Scopus,K,Baltic Sea - CS,">100,000",multidecadal,"50,000-100,000",year,Stomach Contents Analyses,Bioenergetics models_Consumption rates,2,2,3,"The size structure of the cod population has
changed towards smaller individuals. Our study emphasizes that,
under the current ecosystem state, environmental forcing, as well
as a decline in pelagic prey, causes changes in the consumption
and growth rates of small cod in the Baltic Sea, resulting in an accumulation
of small-sized cod in its population.
hypoxia, has probably triggered the observed changes in consumption
and growth rates for cod in the Baltic Sea during the past decades
by reducing the growth of pre-piscivorous specimens.
Moreover, the resulting increased densities of small cod along with
a decline in sprat densities have intensified the competition for
food leading to further food limitation and growth reduction.", ,Gadus morhua,juv and adults,Oxygen,Growth,hypoxia,Overall positive response,Large,indirect impact of hypoxia especially on small individuals,CLIMATE & OCEANOGRAPHY
689,b3_sco.54,127,"Neuenfeldt S., Bartolino V., Orio A., Andersen K.H., Andersen N.G., Niiranen S., Bergström U., Ustups D., Kulatska N., Casini M.",Feeding and growth of Atlantic cod (Gadus morhua L.) in the eastern Baltic Sea under environmental change,2020,ICES Journal of Marine Science,77,2,624,632,10.1093/icesjms/fsz225,NA,"Five decades of stomach content data allowed insight into the development of consumption, diet composition, and resulting somatic growth of Gadus morhua (Atlantic cod) in the eastern Baltic Sea. We show a recent reversal in feeding level over body length. Present feeding levels of small cod indicate severe growth limitation and increased starvation-related mortality. For young cod, the low growth rate and the high mortality rate are manifested through a reduction in size-at-age. The low feeding levels are likely the result of a decrease in benthic prey abundance due to increased hypoxic areas, while decreasing abundances of pelagic species in the area of cod distribution have prevented a compensatory shift in diet. Our study emphasizes that environmental forcing and the decline in pelagic prey caused changes in consumption and growth rates of small cod. The food reduction is amplified by stunted growth leading to high densities of cod of smaller size competing for the scarce resources. The average growth rate is negative, and only individuals with feeding levels well above average will survive, though growing slowly. These results suggest that the relation between consumption rate, somatic growth and predatorprey population densities is strongly environmentally mediated. © 2020 International Council for the Exploration of the Sea. All rights reserved.",English,Article,,Scopus,K,Baltic Sea - CS,">100,000",multidecadal,"50,000-100,000",year,Stomach Contents Analyses,Bioenergetics models_Consumption rates,2,2,3,"The size structure of the cod population has
changed towards smaller individuals. Our study emphasizes that,
under the current ecosystem state, environmental forcing, as well
as a decline in pelagic prey, causes changes in the consumption
and growth rates of small cod in the Baltic Sea, resulting in an accumulation
of small-sized cod in its population.
hypoxia, has probably triggered the observed changes in consumption
and growth rates for cod in the Baltic Sea during the past decades
by reducing the growth of pre-piscivorous specimens.
Moreover, the resulting increased densities of small cod along with
a decline in sprat densities have intensified the competition for
food leading to further food limitation and growth reduction.",NA,Gadus morhua,juv and adults,Oxygen,Survival,hypoxia,Overall positive response,Large,indirect impact of hypoxia especially on small individuals,CLIMATE & OCEANOGRAPHY
690,b3_sco.54,127,"Neuenfeldt S., Bartolino V., Orio A., Andersen K.H., Andersen N.G., Niiranen S., Bergström U., Ustups D., Kulatska N., Casini M.",Feeding and growth of Atlantic cod (Gadus morhua L.) in the eastern Baltic Sea under environmental change,2020,ICES Journal of Marine Science,77,2,624,632,10.1093/icesjms/fsz225,NA,"Five decades of stomach content data allowed insight into the development of consumption, diet composition, and resulting somatic growth of Gadus morhua (Atlantic cod) in the eastern Baltic Sea. We show a recent reversal in feeding level over body length. Present feeding levels of small cod indicate severe growth limitation and increased starvation-related mortality. For young cod, the low growth rate and the high mortality rate are manifested through a reduction in size-at-age. The low feeding levels are likely the result of a decrease in benthic prey abundance due to increased hypoxic areas, while decreasing abundances of pelagic species in the area of cod distribution have prevented a compensatory shift in diet. Our study emphasizes that environmental forcing and the decline in pelagic prey caused changes in consumption and growth rates of small cod. The food reduction is amplified by stunted growth leading to high densities of cod of smaller size competing for the scarce resources. The average growth rate is negative, and only individuals with feeding levels well above average will survive, though growing slowly. These results suggest that the relation between consumption rate, somatic growth and predatorprey population densities is strongly environmentally mediated. © 2020 International Council for the Exploration of the Sea. All rights reserved.",English,Article,,Scopus,K,Baltic Sea - CS,">100,000",multidecadal,"50,000-100,000",year,Stomach Contents Analyses,Bioenergetics models_Consumption rates,2,2,3,"The size structure of the cod population has
changed towards smaller individuals. Our study emphasizes that,
under the current ecosystem state, environmental forcing, as well
as a decline in pelagic prey, causes changes in the consumption
and growth rates of small cod in the Baltic Sea, resulting in an accumulation
of small-sized cod in its population.
hypoxia, has probably triggered the observed changes in consumption
and growth rates for cod in the Baltic Sea during the past decades
by reducing the growth of pre-piscivorous specimens.
Moreover, the resulting increased densities of small cod along with
a decline in sprat densities have intensified the competition for
food leading to further food limitation and growth reduction.", ,Gadus morhua,juv and adults,Prey availability,Growth,pelagic and benthic prey,Overall positive response,Large,pelagic and benthic prey unavailabilty causes severe growth limitation and subsequently size structure of population with increased densities of smaller sizes,FOOD
691,b3_sco.54,127,"Neuenfeldt S., Bartolino V., Orio A., Andersen K.H., Andersen N.G., Niiranen S., Bergström U., Ustups D., Kulatska N., Casini M.",Feeding and growth of Atlantic cod (Gadus morhua L.) in the eastern Baltic Sea under environmental change,2020,ICES Journal of Marine Science,77,2,624,632,10.1093/icesjms/fsz226,NA,"Five decades of stomach content data allowed insight into the development of consumption, diet composition, and resulting somatic growth of Gadus morhua (Atlantic cod) in the eastern Baltic Sea. We show a recent reversal in feeding level over body length. Present feeding levels of small cod indicate severe growth limitation and increased starvation-related mortality. For young cod, the low growth rate and the high mortality rate are manifested through a reduction in size-at-age. The low feeding levels are likely the result of a decrease in benthic prey abundance due to increased hypoxic areas, while decreasing abundances of pelagic species in the area of cod distribution have prevented a compensatory shift in diet. Our study emphasizes that environmental forcing and the decline in pelagic prey caused changes in consumption and growth rates of small cod. The food reduction is amplified by stunted growth leading to high densities of cod of smaller size competing for the scarce resources. The average growth rate is negative, and only individuals with feeding levels well above average will survive, though growing slowly. These results suggest that the relation between consumption rate, somatic growth and predatorprey population densities is strongly environmentally mediated. © 2020 International Council for the Exploration of the Sea. All rights reserved.",English,Article,,Scopus,K,Baltic Sea - CS,">100,000",multidecadal,"50,000-100,000",year,Stomach Contents Analyses,Bioenergetics models_Consumption rates,2,2,3,"The size structure of the cod population has
changed towards smaller individuals. Our study emphasizes that,
under the current ecosystem state, environmental forcing, as well
as a decline in pelagic prey, causes changes in the consumption
and growth rates of small cod in the Baltic Sea, resulting in an accumulation
of small-sized cod in its population.
hypoxia, has probably triggered the observed changes in consumption
and growth rates for cod in the Baltic Sea during the past decades
by reducing the growth of pre-piscivorous specimens.
Moreover, the resulting increased densities of small cod along with
a decline in sprat densities have intensified the competition for
food leading to further food limitation and growth reduction.", ,Gadus morhua,juv and adults,Prey availability,Survival,pelagic and benthic prey,Overall positive response,Large,pelagic and benthic prey unavailabilty increases starvation-related mortality,FOOD
692,b3_sco.545,129,"Casini M., Cardinale M., Hjelm J.","Inter-annual variation in herring, Clupea harengus, and sprat, Sprattus sprattus, condition in the central Baltic Sea: What gives the tune?",2006,Oikos,112,3,638,650,10.1111/j.0030-1299.2006.13860.x,NA,"The Baltic Sea ecosystem has undergone large changes during the last two decades, including a severe reduction in cod and herring biomass but, at the same time, a large increase in sprat abundance. The lower trophic levels of the Baltic Sea also changed due to environmental fluctuations, including variations in salinity and in volume of oxygenated water. In this apparently shifting environment, the conditions of herring and sprat have undergone large inter-annual variations during the past 15-20 years. In this study, we explore how abiotic factors (i.e. salinity and temperature) and biotic factors (biomass of the copepods Pseudocalanus elongatus, Temora longicornis, Acartia spp. and of cladocerans as well as clupeid abundance) in different seasons (May and August) affect clupeid body condition. Our analyses suggest that data of zooplankton biomass and abiotic factors in August have higher predictive power than May data. Although our analysis suggests that salinity (a bottom-up process) has an effect on sprat condition, total abundance of clupeids (a top-down process) is by far the most significant predictor of both herring and sprat condition. The strong correlation between clupeid abundance and total zooplankton biomass points to food competition and to top-down control by herring and sprat on common food resources. Furthermore, clupeid condition co-varied with the changes in the weight of zooplankton in the stomachs, which further suggest food competition being the main mechanism behind the changes in clupeid condition during the last two decades. Hence, our results are not in agreement with most of the current literature that has suggested that clupeid growth is regulated by environmentally mediated bottom-up processes acting on the abundance of copepods. This is, to our knowledge, the first evidence of food resources mediated density-dependent fish growth in a large marine ecosystem. Copyright © Oikos 2006.",English,Article,,Scopus,K,Baltic Sea - CS,">100,000",multidecadal,"5,000-10,000",year,Stomach Contents Analyses,General Linear Models _ Linear Regressions,2,2,3,"Our results suggest that clupeid condition in the Baltic Sea is mainly driven by competition, i.e. a density-dependent process. The data clearly showed that the mechanism behind the
density-dependent growth was feeding competition as stressed by both a decrease of zooplankton biomass with increasing predator abundance and a positive correlation
between stomach content and clupeid condition.",Food resources mediated density-dependent fish growth,Clupea harengus,adults,Salinity,Condition,NA,Mixed response,Small,"p=0.02 , positive in 0-50 m and negative 0-100 m",CLIMATE & OCEANOGRAPHY
